iter	Passed	Remaining
0	142	14127
1	143	7048
2	144	4686
3	145	3501
4	146	2790
5	147	2316
6	148	1977
7	149	1722
8	150	1524
9	151	1365
10	152	1234
11	156	1146
12	157	1053
13	158	973
14	159	903
15	160	842
16	161	788
17	162	739
18	163	696
19	164	656
20	165	621
21	166	589
22	167	559
23	168	532
24	169	508
25	170	485
26	171	464
27	172	444
28	173	425
29	175	408
30	176	391
31	177	376
32	178	362
33	179	348
34	180	335
35	181	322
36	182	310
37	184	301
38	186	291
39	187	280
40	188	271
41	189	261
42	190	252
43	191	243
44	192	235
45	193	227
46	194	219
47	195	211
48	196	204
49	199	199
50	200	192
51	201	185
52	202	179
53	203	173
54	204	167
55	205	161
56	206	155
57	207	150
58	208	144
59	209	139
60	210	134
61	211	129
62	212	124
63	214	120
64	216	116
65	217	111
66	218	107
67	219	103
68	220	99
69	221	95
70	223	91
71	224	87
72	225	83
73	226	79
74	227	75
75	230	72
76	231	69
77	233	65
78	234	62
79	235	58
80	236	55
81	237	52
82	239	48
83	240	45
84	241	42
85	242	39
86	244	36
87	247	33
88	248	30
89	250	27
90	251	24
91	252	21
92	253	19
93	254	16
94	255	13
95	256	10
96	257	7
97	259	5
98	261	2
99	262	0
